company_name,company_website_url,description,description_short,emails,employee_range,founders,founding_date,location,phones,profile_url,tags,urls;;;
"Mobile2Win India,http://www.mobile2win.com/,""Mobile2Win is a leader in providing mobile experience to its customers since 2003. They have been associated with leading brands in India and Asia Pacific in delivering mobile campaigns, mobile apps and mobile ads. They have been partners in conceptualizing and delivering mobility strategies for their customers.Their customers span across several industry segments such as FMCG, Retail, Banking & Finance, Insurance, Manufacturing, Automobiles, Healthcare, Telecommunications& Media.  Mobile2Win has implemented transformational and enterprise mobile applications for its global customers. They have extensive experience and deep expertise in delivering mobile apps on the native platforms of Android, iOS and Windows. They also deliver mobile apps on Hybrid platforms such as PhoneGap, AppMobi, Sencha&Worklight. They place a great emphasis on the usability and aesthetics of each app we work on. They have a dedicated creative design team that creates User Interfaces that pronounce the customer’s branding, incorporate latest UI design guidelines of respective mobile platforms and coordinate with the developers in implementing the UI in the apps."",""Mobile2win is India's leading mobile products & solutions provider to media companies, consumer brands & telcos enabling them to interact with and publish content for mobile consumers."",mohit.jain@altruistindia.com ,,,,India,,https://e27.co/startups/mobile2win-india,""Consumer, Entertainment, Media, Mobile, Information & Communications Technology"","",http://www.linkedin.com/company/mobile2win""";;;
"Vaunte,https://www.vaunte.com,,""I'm working in """"Vaunte"""" as a content coordinator."",Info@vaunte.com,,,,United States of America,,https://e27.co/startups/vaunte,,""https://twitter.com/VaunteOfficial,https://web.facebook.com/VaunteOfficial,""";;;
"BIOAYURVEDA,https://www.bioayurveda.in/,""BIOAYURVEDA is an ayurvedic brand who believes anything can be solved with our holy tradition technique. It worships the oldest technique of ayurvedic science and believes that nothing is impossible. It is the world’s one of the trusted ayurvedic brands with a large number of buyers. It gives the best ayurvedic solution with organic ingredients and zero percent synthetic. It contains a different range of products like health & personal care, beauty and grooming and herbal products. Its beauty and grooming products will take you to the next level. The health care products are effective and keep you fit. The herbal products are the specialty of this ayurvedic brand, this is what BioAyurveda stands for. This company was inaugurated in 2016 and within a couple of years, it became one of the best online marketing labels."",BIOAYURVEDA is an ayurvedic brand who believes anything can be solved with our holy tradition technique. It worships the oldest technique of ayurvedic science and believes that nothing is impossible.,care@bioayurveda.in,,,2016-12-01,India,,https://e27.co/startups/bioayurveda,,""https://twitter.com/BioAyurveda,https://www.facebook.com/BioAyurveda/,https://www.linkedin.com/company/bioayurveda/""";;;
"Presskr,http://www.presskr.com,""Welcome to Presskr! We are your one-stop shop for all things bought and sold. Presskr is an India’s Emerging platform for finding millions of buyers and sellers to purchase or sell used goods and services.  We entered the online classifieds market in the year 2014 with the vision for buyers and sellers to “meet online, transact offline"""". Today we have over million listings and have generated over million replies"",Presskr is the complete free Classified platform for Buyers & Sellers! bringing people together for win-win exchanges. Buy Sell Rent Anything for Free!,info@presskr.com,,,2014-12-01,India,,https://e27.co/startups/presskr,""Finance, E-commerce, Advertising"",""https://twitter.com/Presskr_com,https://www.facebook.com/PresskrClassified,https://www.linkedin.com/company/presskr""";;;
"PT. Otodealers Indonesia Raya (Otodealers.com),http://www.otodealers.com,,""Online Platform Where People Find & Buy New Cars & Motorcycle - Faster, Easier  & Best Deal"",info@otodealers.com,,,2016-08-01,Indonesia,,https://e27.co/startups/otodealers,""Automotive, Enterprise Solution, Consumer, E-commerce"",""https://twitter.com/otodealers,http://www.facebook.com/otodealers,""";;;
"Menara Games,http://www.menaragames.com/,""Established in 2005, they are one of the pioneer Indonesian Game Developer, they have extensive knowledge and experience on casual games and mid-core market. Over the years Menara Games has placed our games on the best game distribution stores and we tops the list. We have hit PC and Mobile games with Big Fish Games, real Arcade, Game House, Kongregate, Google Play™ and Apple App Store."",""Established in 2005, they are one of the pioneer Indonesian Game Developer, they have extensive knowledge and experience on casual games and mid-core market."",info@menaragames.com,,,2005-01-01,Indonesia,,https://e27.co/startups/menara-games,""Gaming, Software as a Service, Agency & Consulting, Information & Communications Technology"",""https://twitter.com/menaragames,https://www.facebook.com/MenaraGames/timeline,http://www.linkedin.com/company/menara-games""";;;
"One Click,,,The solution to lower injury & death rate. We truly believe that every second matter (ESM).,OneClick2017@hotmail.com,,,,Malaysia,,https://e27.co/startups/one-click,Smart Cities,"",""";;;
"HPG Technology,http://www.hpgtech.com/,""HPG Technology provides software as a service including simple web design&hosting services to application specific software services, e.g. CRM, Social&Business collaboration. Outstanding HPG services include OpenSource consulting services, OpenSource support services. Recently, by partnering with HiT Software Inc., HPG Technology provides high performance relational database access services through HitSW products for web and client/server applications including .NET, ODBC, JDBC, and OLEDB SQL middleware products for IBM DB2 Server access"; Allora XML-RDB transformation middleware; DBMoto data replication for relational databases including DB2, SQL Server and Oracle databases as well as others;" and SafeConduct data security for new and legacy application access across the Internet. They are an innovative technology company providing solutions for various industries including manufacturing, financial- service, banking, telecommunication and more. They address extensive challenges of businesses, based on appropriate technology applied in today’s enterprise environments. Flexibility, workability and reliability are our key qualities. They doubly focus on optimizing the return on technology investments, reducing the cost of technology ownership, and transforming IT into an on-demand utility that can adapt to the needs of the business.  HPG Technology has provided enriched experiences to deliver IT services to the Thai market since 2004 in various industry sectors."",HPG Technology provides software as a service including simple web design&hosting services to application specific software services.,info@hpgtech.com,,,2004-01-01,Thailand,,https://e27.co/startups/hpg-technology,""Agency & Consulting, Consumer, Software as a Service, Agency & Agency & Consulting, Information & Communications Technology"",""https://twitter.com/hpgtech,,https://www.linkedin.com/company/hpg-technology"""
"propertyasia.ph ,http://www.propertyasia.ph/,""PropertyAsia.ph, a one-stop online marketplace for property hunters and sellers, offers free and comprehensive property listings in the Philippines and across Asia.  Its affiliated websites CondoAsia.ph, which showcases vertical developments, and HousesAsia.ph, which specializes on horizontal developments, are seamlessly integrated into one another.  Hence, enlisting your properties to them ensures their exposure across their multiple platforms.  PropertyAsia.ph websites are designed, developed, and maintained by Chanz IT Business Solutions Inc.  Find Better Homes Here."",""PropertyAsia.ph, a one-stop online marketplace for property hunters and sellers, offers free and comprehensive property listings in the Philippines and across Asia."",startups@e27.co ,,,2015-02-01,Philippines,,https://e27.co/startups/propertyasia-ph,""Advertising, Real Estate, Information & Communications Technology"",""https://twitter.com/PropertyAsiaPH,https://www.facebook.com/propertyAsiaPh/,https://www.linkedin.com/company/propertyasia-ph""";;;
"FoodEagle,http://foodeagle.com/,""FoodEagle helps you find the best local food by browsing the most popular dish's pictures. For restaurants, FoodEagle provides marketing and advertising services to help bring in new customers and create loyal ones."",FoodEagle helps you find the best local food by browsing the most popular dish's pictures.,startups@e27.co,,,,Philippines,,https://e27.co/startups/foodeagle,Food & Beverage,""https://twitter.com/FoodEagle,https://www.facebook.com/foodeagle,https://www.linkedin.com/company/foodeagle""";;;
"acharya abbs,http://www.acharyabbs.ac.in/,""ABBS is the preferred destination for students from across the country and is one of the few B-schools in India that has taken an initiative in creating a new education system through its Learner-centric Pedagogy, Publications, Management Development Programs, Workshops, Industry interface, and entrepreneurship programs to name a few. These achievements are reflected in terms of All India rankings and have drawn the attention of corporate organizations.Located at Bangalore- the 'knowledge capital' of India, our prime location attracts talented students who are seeking access to advanced level of learning. The aesthetically designed campus offers abundant greenery and rich colors that are a treat to the eye. This creates an ideal environment nurtured for learning. Visit http://www.acharyabbs.ac.in/"",Acharya Bangalore B School: ABBS is Ranked among the Top business schools in Bangalore which provides best MBA /PGDM and Management Programmes in Bangalore.,acharyacollege11@gmail.com,,,,India,,https://e27.co/startups/acharya-abbs,,"",""";;;
"Eatsy,https://eatsyapp.co,""We’re technologists with a passion to improve the hospitality industry by simplifying and enhancing how restaurants and diners interact & engage.   We are building a platform that empowers restaurants with everything they should know about every diner that ever walked through their door, via the predictive profiling capability of a diner-centric mobile ordering and payment app and a proprietary waiter’s app that provides waiters with everything they need to know about each and every diner in the restaurant."",""eatsy empowers restaurants to simplify their operations and effortlessly retain their in-dining customers, in one single platform. Diners receive Cashback for every meal and enjoy personalised in-app"",nic@eatsyapp.co,,Shaun,2016-09-01,Singapore,,https://e27.co/startups/eatsy-pte-ltd,""Enterprise Solution, Food & Beverage"",""https://www.facebook.com/eatsytechnologies,https://www.linkedin.com/company/eatsy-pte.-ltd?trk=top_nav_home""";;;
"Gopalan Coworks,https://gopalancoworks.in/,,""Coworking Space in Indiranagar, Bangalore"",enquiry@gopalancoworks.in,,,,India,,https://e27.co/startups/gopalan-coworks,,"",""";;;
"Awardingly Singapore,http://awardingly.com,,Awardingly Singapore  creates and manages lifelong awards for the digital generation. Our goal is to bring social visibility to awards for both the givers and recipients.,aihoon@awardingly.com,,,2017-03-01,Singapore,,https://e27.co/startups/awardingly-singapore,""Design , Advertising"","",""";;;
"MyVote.Today,http://myvote.today/,""MyVoteToday*​​​​ is a mobile app based pollster promoted by Apption Digital, Inc. (a US based digital technology company). It aims to improve the standards of democracies throughout the world by enabling citizens to opine on various issues anonymously. Currently addressing the Indian democracy, MyVote.Today also expects to launch in the US soon, and grow to other major democracies over time. Despite being the world's largest democracy, India unfortunately remains a low 70th in the quality of democracy ranking. The MyVote.Today Mobile App will allow citizens to vote on important issues faced in their locality, city, state or the country. In India the ‘democratic processes’ usually ends post elections";" MVT aims to keep the concept of ‘democracy’ alive by seeking public opinion on all crucial issues."",""MyVoteToday*​​​​ is a mobile app based pollster promoted by Apption Digital, Inc. (a US based digital technology company)."",startups@e27.co,,,,India,,https://e27.co/startups/myvote-today,Mobile,""https://twitter.com/myvote_today,,""";;
"Divinos IT Solutions Pvt Ltd,http://www.divinosit.com/,""Divinos is a custom software development company focusing on strategic initiatives of customers, offering full life cycle customization software programming services. They provide various services including concept development, software development, support and enhancements that meet the requirements of clients and customers. Divinos is an ISO 9001-2008 certified, headquartered in Hyderabad, India with modern competency center. With Divinos Delivery Model (DDM) we serve global clientele and Government Agencies. Their expertise is in business process improvement, e-Business solutions, upgrades and testing. Their application management and support helps return on investment (ROI) and reduces total cost of owner-ship (TCO)."",""Divinos is a custom software development company focusing on strategic initiatives of customers, offering full life cycle customization software programming services."",mohan@divinosit.com,,,2007-09-01,India,,https://e27.co/startups/divinos-it-solutions-pvt-ltd,""Big Data, Software as a Service, Agency & Consulting"","",http://www.linkedin.com/company/divinos-it-solutions-pvt.-ltd.""";;;
"ShareWis,http://company.share-wis.com/,""ShareWis Inc. is a Japanese startup company providing EdTech services.  ShareWis is a casual learning content platform with the Knowledge Map which is a network of short lectures with YouTube video and some brief quizzes. ShareWis turns learning into an adventure.  ShareWis visualizes user learning progress on the Knowledge Map, a network of short lectures using YouTube video and some brief quizzes. Their vision is to create the place where people can find hope through learning."",""ShareWis visualizes user learning progress on the Knowledge Map, a network of short lectures using YouTube video and some brief quizzes."",support@share-wis.com,,,2012-02-01,Japan,,https://e27.co/startups/sharewis,""Education, Mobile, Information & Communications Technology"",""https://twitter.com/sharewis_en,https://www.facebook.com/sharewis/info,http://www.linkedin.com/company/sharewis-inc-""";;;
